Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
ON,1,12.4,0.0,0.0,1.0,0.0,30.9,37,30.0,-29.8,-35,-30.0,0.0,1.0,88.8,0.0
ON,1,9.9,0.0,0.0,1.0,0.0,32.0,35,30.0,-30.4,-33,-30.0,0.0,1.0,93.5,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.9,35,30.0,-29.3,-33,-30.0,0.0,1.0,88.9,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.8,37,30.0,-28.2,-35,-30.0,0.0,1.0,90.5,0.0
ON,1,9.7,0.0,0.0,1.0,0.0,30.9,37,30.0,-29.8,-35,-30.0,0.0,1.0,90.3,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,32.0,35,30.0,-30.3,-33,-30.0,0.0,1.0,92.4,0.0
ON,1,9.5,0.0,0.0,1.0,0.0,30.4,35,30.0,-29.3,-33,-30.0,0.0,1.0,90.5,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.8,37,30.0,-28.2,-35,-30.0,0.0,1.0,86.4,0.0
ON,1,10.2,0.0,0.0,1.0,0.0,30.9,37,30.0,-29.8,-35,-30.0,0.0,1.0,90.8,0.0
ON,1,9.7,0.0,0.0,1.0,0.0,32.0,35,30.0,-30.4,-33,-30.0,0.0,1.0,91.5,0.0
ON,1,9.5,0.0,0.0,1.0,0.0,30.4,35,30.0,-29.3,-33,-30.0,0.0,1.0,91.5,0.0
ON,1,9.5,0.0,0.0,1.0,0.0,30.4,35,30.0,-28.7,-35,-30.0,0.0,1.0,88.0,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.3,35,30.0,-29.8,-35,-30.0,0.0,1.0,102.2,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.2,35,30.0,-30.2,-33,-30.0,0.0,1.0,107.3,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.7,37,30.0,-28.6,-35,-30.0,0.0,1.0,112.5,0.0
ON,1,9.4,0.0,0.0,1.0,0.0,31.2,35,30.0,-29.1,-35,-30.0,0.0,1.0,114.8,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.7,35,30.0,-30.2,-33,-30.0,0.0,1.0,117.1,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.1,35,30.0,-28.5,-35,-30.0,0.0,1.0,118.9,0.0
ON,1,8.8,0.0,0.0,1.0,0.0,29.6,37,30.0,-29.6,-35,-30.0,0.0,1.0,-116.7,0.0
ON,1,9.8,0.0,0.0,1.0,0.0,31.6,-85,-30.0,-30.0,85,30.0,0.0,1.0,-116.5,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,-41.1,-61,-30.0,42.2,61,30.0,0.0,1.0,129.9,0.0
ON,1,9.5,0.0,0.0,1.0,0.0,-61.0,123,30.0,62.6,-123,-30.0,0.0,1.0,102.9,0.0
ON,1,9.4,0.0,0.0,1.0,0.0,52.8,79,30.0,-51.7,-79,-30.0,0.0,1.0,110.9,0.0
ON,1,8.7,0.0,0.0,1.0,0.0,81.8,-25,30.0,-80.7,25,-30.0,0.0,1.0,105.5,0.0
ON,1,9.4,0.0,0.0,1.0,0.0,4.3,27,30.0,-5.4,-23,-30.0,0.0,1.0,99.5,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,9.8,69,30.0,-8.7,-65,-30.0,0.0,1.0,94.8,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,48.0,33,30.0,-44.8,-35,-30.0,0.0,1.0,96.9,0.0
ON,1,9.0,0.0,0.0,1.0,0.0,38.5,17,30.0,-39.1,-15,-30.0,0.0,1.0,90.4,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,17.9,43,30.0,-17.4,-39,-30.0,0.0,1.0,91.7,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.8,45,30.0,-26.6,-45,-30.0,0.0,1.0,87.9,0.0
